category_key,seasonal_flag,product_category,parent_category
1,1,perfumery,Perfumery
2,0,art,Art
3,0,sports_leisure,Sports
4,1,baby,Baby
5,1,housewares,Housewares
6,1,musical_instruments,Musical
7,0,cool_stuff,Cool_Stuff
8,1,furniture_decor,Furniture
9,1,home_appliances,Home
10,0,toys,Toys
11,1,bed_bath_table,Bed
12,0,baby,Baby
13,1,musical_instruments,Musical
14,0,furniture_decor,Furniture
15,0,construction_tools_safety,Construction
16,0,sports_leisure,Sports
17,1,perfumery,Perfumery
18,1,computers_accessories,Computers
19,1,furniture_decor,Furniture
20,0,bed_bath_table,Bed
21,1,furniture_decor,Furniture
22,0,bed_bath_table,Bed
23,0,health_beauty,Health
24,1,baby,Baby
25,0,furniture_decor,Furniture
26,1,housewares,Housewares
27,0,luggage_accessories,Luggage
28,0,computers_accessories,Computers
29,0,computers_accessories,Computers
30,0,sports_leisure,Sports
31,1,bed_bath_table,Bed
32,1,garden_tools,Garden
33,1,furniture_decor,Furniture
34,1,office_furniture,Office
35,1,sports_leisure,Sports
36,0,baby,Baby
37,0,auto,Auto
38,0,electronics,Electronics
39,0,housewares,Housewares
40,1,furniture_decor,Furniture
41,1,furniture_decor,Furniture
42,1,toys,Toys
43,1,bed_bath_table,Bed
44,1,baby,Baby
45,1,cool_stuff,Cool_Stuff
46,1,toys,Toys
47,1,cool_stuff,Cool_Stuff
48,0,furniture_decor,Furniture
49,0,furniture_decor,Furniture
50,1,health_beauty,Health
51,1,sports_leisure,Sports
52,1,cool_stuff,Cool_Stuff
53,1,auto,Auto
54,0,baby,Baby
55,1,luggage_accessories,Luggage
56,0,fashion_shoes,Fashion
57,0,telephony,Telephony
58,0,cool_stuff,Cool_Stuff
59,0,stationery,Stationery
60,0,toys,Toys
61,0,sports_leisure,Sports
62,0,stationery,Stationery
63,1,health_beauty,Health
64,0,fashion_bags_accessories,Fashion
65,0,stationery,Stationery
66,1,stationery,Stationery
67,1,sports_leisure,Sports
68,0,garden_tools,Garden
69,0,computers,Computers
70,1,auto,Auto
71,1,home_construction,Home
72,1,watches_gifts,Watches
73,0,cool_stuff,Cool_Stuff
74,0,construction_tools_construction,Construction
75,0,pet_shop,Pet
76,1,health_beauty,Health
77,0,small_appliances,Small_Appliances
78,0,perfumery,Perfumery
79,0,watches_gifts,Watches
80,0,agro_industry_and_commerce,Agro
81,1,health_beauty,Health
82,1,health_beauty,Health
83,1,bed_bath_table,Bed
84,0,garden_tools,Garden
85,0,perfumery,Perfumery
86,1,musical_instruments,Musical
87,1,bed_bath_table,Bed
88,0,bed_bath_table,Bed
89,0,furniture_decor,Furniture
90,1,computers_accessories,Computers
91,0,sports_leisure,Sports
92,0,health_beauty,Health
93,0,health_beauty,Health
94,1,sports_leisure,Sports
95,1,telephony,Telephony
96,0,furniture_decor,Furniture
97,0,auto,Auto
98,0,auto,Auto
99,0,watches_gifts,Watches
100,1,bed_bath_table,Bed
101,1,furniture_decor,Furniture
102,0,computers_accessories,Computers
103,1,watches_gifts,Watches
104,0,furniture_decor,Furniture
