full_date,date_key,day_of_week,month,year,month_name,quarter,week_of_year,day
2015-01-01,20150101,Thursday,1,2015,January,1,1,3
2015-01-02,20150102,Friday,1,2015,January,1,1,4
2015-01-03,20150103,Saturday,1,2015,January,1,1,5
2015-01-04,20150104,Sunday,1,2015,January,1,1,6
2015-01-05,20150105,Monday,1,2015,January,1,2,0
2015-01-06,20150106,Tuesday,1,2015,January,1,2,1
2015-01-07,20150107,Wednesday,1,2015,January,1,2,2
2015-01-08,20150108,Thursday,1,2015,January,1,2,3
2015-01-09,20150109,Friday,1,2015,January,1,2,4
2015-01-10,20150110,Saturday,1,2015,January,1,2,5
2015-01-11,20150111,Sunday,1,2015,January,1,2,6
2015-01-12,20150112,Monday,1,2015,January,1,3,0
2015-01-13,20150113,Tuesday,1,2015,January,1,3,1
2015-01-14,20150114,Wednesday,1,2015,January,1,3,2
2015-01-15,20150115,Thursday,1,2015,January,1,3,3
2015-01-16,20150116,Friday,1,2015,January,1,3,4
2015-01-17,20150117,Saturday,1,2015,January,1,3,5
2015-01-18,20150118,Sunday,1,2015,January,1,3,6
2015-01-19,20150119,Monday,1,2015,January,1,4,0
2015-01-20,20150120,Tuesday,1,2015,January,1,4,1
2015-01-21,20150121,Wednesday,1,2015,January,1,4,2
2015-01-22,20150122,Thursday,1,2015,January,1,4,3
2015-01-23,20150123,Friday,1,2015,January,1,4,4
2015-01-24,20150124,Saturday,1,2015,January,1,4,5
2015-01-25,20150125,Sunday,1,2015,January,1,4,6
2015-01-26,20150126,Monday,1,2015,January,1,5,0
2015-01-27,20150127,Tuesday,1,2015,January,1,5,1
2015-01-28,20150128,Wednesday,1,2015,January,1,5,2
2015-01-29,20150129,Thursday,1,2015,January,1,5,3
2015-01-30,20150130,Friday,1,2015,January,1,5,4
2015-01-31,20150131,Saturday,1,2015,January,1,5,5
2015-02-01,20150201,Sunday,2,2015,February,1,5,6
2015-02-02,20150202,Monday,2,2015,February,1,6,0
2015-02-03,20150203,Tuesday,2,2015,February,1,6,1
2015-02-04,20150204,Wednesday,2,2015,February,1,6,2
2015-02-05,20150205,Thursday,2,2015,February,1,6,3
2015-02-06,20150206,Friday,2,2015,February,1,6,4
2015-02-07,20150207,Saturday,2,2015,February,1,6,5
2015-02-08,20150208,Sunday,2,2015,February,1,6,6
2015-02-09,20150209,Monday,2,2015,February,1,7,0
2015-02-10,20150210,Tuesday,2,2015,February,1,7,1
2015-02-11,20150211,Wednesday,2,2015,February,1,7,2
2015-02-12,20150212,Thursday,2,2015,February,1,7,3
2015-02-13,20150213,Friday,2,2015,February,1,7,4
2015-02-14,20150214,Saturday,2,2015,February,1,7,5
2015-02-15,20150215,Sunday,2,2015,February,1,7,6
2015-02-16,20150216,Monday,2,2015,February,1,8,0
2015-02-17,20150217,Tuesday,2,2015,February,1,8,1
2015-02-18,20150218,Wednesday,2,2015,February,1,8,2
2015-02-19,20150219,Thursday,2,2015,February,1,8,3
2015-02-20,20150220,Friday,2,2015,February,1,8,4
2015-02-21,20150221,Saturday,2,2015,February,1,8,5
2015-02-22,20150222,Sunday,2,2015,February,1,8,6
2015-02-23,20150223,Monday,2,2015,February,1,9,0
2015-02-24,20150224,Tuesday,2,2015,February,1,9,1
2015-02-25,20150225,Wednesday,2,2015,February,1,9,2
2015-02-26,20150226,Thursday,2,2015,February,1,9,3
2015-02-27,20150227,Friday,2,2015,February,1,9,4
2015-02-28,20150228,Saturday,2,2015,February,1,9,5
2015-03-01,20150301,Sunday,3,2015,March,1,9,6
2015-03-02,20150302,Monday,3,2015,March,1,10,0
2015-03-03,20150303,Tuesday,3,2015,March,1,10,1
2015-03-04,20150304,Wednesday,3,2015,March,1,10,2
2015-03-05,20150305,Thursday,3,2015,March,1,10,3
2015-03-06,20150306,Friday,3,2015,March,1,10,4
2015-03-07,20150307,Saturday,3,2015,March,1,10,5
2015-03-08,20150308,Sunday,3,2015,March,1,10,6
2015-03-09,20150309,Monday,3,2015,March,1,11,0
2015-03-10,20150310,Tuesday,3,2015,March,1,11,1
2015-03-11,20150311,Wednesday,3,2015,March,1,11,2
2015-03-12,20150312,Thursday,3,2015,March,1,11,3
2015-03-13,20150313,Friday,3,2015,March,1,11,4
2015-03-14,20150314,Saturday,3,2015,March,1,11,5
2015-03-15,20150315,Sunday,3,2015,March,1,11,6
2015-03-16,20150316,Monday,3,2015,March,1,12,0
2015-03-17,20150317,Tuesday,3,2015,March,1,12,1
2015-03-18,20150318,Wednesday,3,2015,March,1,12,2
2015-03-19,20150319,Thursday,3,2015,March,1,12,3
2015-03-20,20150320,Friday,3,2015,March,1,12,4
2015-03-21,20150321,Saturday,3,2015,March,1,12,5
2015-03-22,20150322,Sunday,3,2015,March,1,12,6
2015-03-23,20150323,Monday,3,2015,March,1,13,0
2015-03-24,20150324,Tuesday,3,2015,March,1,13,1
2015-03-25,20150325,Wednesday,3,2015,March,1,13,2
2015-03-26,20150326,Thursday,3,2015,March,1,13,3
2015-03-27,20150327,Friday,3,2015,March,1,13,4
2015-03-28,20150328,Saturday,3,2015,March,1,13,5
2015-03-29,20150329,Sunday,3,2015,March,1,13,6
2015-03-30,20150330,Monday,3,2015,March,1,14,0
2015-03-31,20150331,Tuesday,3,2015,March,1,14,1
2015-04-01,20150401,Wednesday,4,2015,April,2,14,2
2015-04-02,20150402,Thursday,4,2015,April,2,14,3
2015-04-03,20150403,Friday,4,2015,April,2,14,4
2015-04-04,20150404,Saturday,4,2015,April,2,14,5
2015-04-05,20150405,Sunday,4,2015,April,2,14,6
2015-04-06,20150406,Monday,4,2015,April,2,15,0
2015-04-07,20150407,Tuesday,4,2015,April,2,15,1
2015-04-08,20150408,Wednesday,4,2015,April,2,15,2
2015-04-09,20150409,Thursday,4,2015,April,2,15,3
2015-04-10,20150410,Friday,4,2015,April,2,15,4
2015-04-11,20150411,Saturday,4,2015,April,2,15,5
2015-04-12,20150412,Sunday,4,2015,April,2,15,6
2015-04-13,20150413,Monday,4,2015,April,2,16,0
2015-04-14,20150414,Tuesday,4,2015,April,2,16,1
2015-04-15,20150415,Wednesday,4,2015,April,2,16,2
2015-04-16,20150416,Thursday,4,2015,April,2,16,3
2015-04-17,20150417,Friday,4,2015,April,2,16,4
2015-04-18,20150418,Saturday,4,2015,April,2,16,5
2015-04-19,20150419,Sunday,4,2015,April,2,16,6
2015-04-20,20150420,Monday,4,2015,April,2,17,0
2015-04-21,20150421,Tuesday,4,2015,April,2,17,1
2015-04-22,20150422,Wednesday,4,2015,April,2,17,2
2015-04-23,20150423,Thursday,4,2015,April,2,17,3
2015-04-24,20150424,Friday,4,2015,April,2,17,4
2015-04-25,20150425,Saturday,4,2015,April,2,17,5
2015-04-26,20150426,Sunday,4,2015,April,2,17,6
