shipping_key,shipping_type,delivery_days,order_status
1,Standard,15,delivered
2,Standard,19,delivered
3,Standard,26,delivered
4,Standard,26,delivered
5,Standard,12,delivered
6,Standard,22,delivered
7,Standard,27,invoiced
8,Express,21,delivered
9,Standard,41,delivered
10,Standard,24,delivered
11,Standard,21,delivered
12,Standard,25,delivered
13,Standard,40,delivered
14,Standard,13,delivered
15,Standard,19,delivered
16,Standard,26,delivered
17,Standard,34,delivered
18,Standard,33,delivered
19,Standard,19,delivered
20,Standard,27,delivered
21,Standard,9,delivered
22,Standard,13,delivered
23,Standard,17,delivered
24,Standard,43,delivered
25,Standard,7,delivered
26,Standard,19,delivered
27,Standard,44,delivered
28,Standard,15,delivered
29,Standard,20,delivered
30,Standard,46,delivered
31,Standard,12,delivered
32,Standard,28,delivered
33,Standard,26,delivered
34,Standard,31,delivered
35,Standard,7,delivered
36,Standard,30,delivered
37,Standard,35,delivered
38,Standard,21,delivered
39,Standard,45,delivered
40,Standard,16,delivered
41,Standard,23,delivered
42,Standard,26,delivered
43,Standard,27,delivered
44,Standard,39,delivered
45,Standard,23,shipped
46,Standard,21,delivered
47,Standard,28,delivered
48,Standard,7,delivered
49,Standard,14,delivered
50,Standard,21,delivered
51,Standard,21,delivered
52,Standard,23,delivered
53,Standard,20,delivered
54,Standard,31,delivered
55,Standard,19,delivered
56,Standard,34,delivered
57,Standard,23,delivered
58,Standard,23,delivered
59,Standard,16,delivered
60,Standard,22,delivered
61,Standard,17,delivered
62,Standard,9,delivered
63,Standard,19,delivered
64,Standard,21,delivered
65,Standard,22,delivered
66,Standard,37,delivered
67,Standard,29,delivered
68,Standard,24,delivered
69,Standard,12,delivered
70,Standard,17,delivered
71,Standard,11,delivered
72,Standard,24,delivered
73,Standard,19,delivered
74,Express,28,delivered
75,Standard,21,delivered
76,Standard,25,delivered
77,Standard,10,delivered
78,Standard,21,delivered
79,Standard,3,delivered
80,Standard,16,delivered
81,Standard,27,delivered
82,Standard,20,delivered
83,Standard,22,delivered
84,Express,34,delivered
85,Standard,35,delivered
86,Standard,25,delivered
87,Standard,25,delivered
88,Standard,29,delivered
89,Standard,24,delivered
90,Standard,27,delivered
91,Standard,14,delivered
92,Standard,23,delivered
93,Standard,39,delivered
94,Standard,32,delivered
95,Standard,14,delivered
96,Standard,23,delivered
97,Standard,24,delivered
98,Standard,18,delivered
99,Express,26,delivered
100,Standard,47,delivered
101,Standard,3,delivered
102,Standard,19,delivered
103,Standard,2,delivered
104,Standard,17,invoiced
105,Standard,24,delivered
106,Standard,28,delivered
107,Standard,40,delivered
108,Standard,29,delivered
109,Standard,23,delivered
110,Standard,18,delivered
111,Express,23,delivered
112,Standard,17,delivered
113,Standard,13,delivered
114,Standard,34,delivered
115,Standard,19,delivered
116,Standard,22,delivered
117,Standard,17,delivered
118,Standard,12,delivered
119,Standard,28,delivered
120,Standard,23,delivered
